,東京,東京,江戸川臨海,江戸川臨海,練馬,練馬
,平均気温(℃),降水量の合計(mm),平均気温(℃),降水量の合計(mm),平均気温(℃),降水量の合計(mm)
2016/4/1,12.8,2.5,12.6,3.0,12.4,0.0
2016/4/2,10.5,1.5,10.3,1.5,10.7,1.0
2016/4/3,13.1,4.0,12.7,1.5,13.4,3.5
2016/4/4,15.6,8.0,14.7,12.0,14.6,19.5
2016/4/5,10.8,1.5,10.9,1.0,10.7,2.5
2016/4/6,14.6,0,13.8,0.0,14.4,0.0
2016/4/7,13.8,33.0,14.4,37.5,12.6,27.0
2016/4/8,16.1,0,16.1,0.0,16.7,0.0
2016/4/9,17.1,0,16.2,0.0,17.0,0.0
2016/4/10,17.2,0,16.6,0.0,17.0,0.0
2016/4/11,11.6,0.0,11.4,0.0,11.2,0.0
2016/4/12,10.5,0,10.6,0.0,10.3,0.0
2016/4/13,14.4,1.5,14.5,1.5,14.2,0.0
2016/4/14,15.0,20.0,15.5,21.0,15.1,21.5
2016/4/15,16.3,0,16.7,0.0,16.0,0.0
2016/4/16,15.8,0,15.5,0.0,15.1,0.0
2016/4/17,19.2,6.0,17.8,1.0,19.4,6.0
2016/4/18,18.9,0.5,17.5,0.5,18.5,0.0
2016/4/19,16.2,0.0,16.0,0.0,16.5,0.0
2016/4/20,14.9,0,14.9,0.0,14.9,0.0
2016/4/21,16.5,6.0,16.7,5.0,15.6,4.0
2016/4/22,17.3,0.0,16.9,0.0,17.2,0.0
2016/4/23,17.9,0.0,17.5,0.0,17.6,0.0
2016/4/24,15.7,13.5,15.9,4.0,15.8,5.5
2016/4/25,18.1,0,17.8,0.0,18.1,0.0
2016/4/26,19.2,0,19.1,0.0,19.1,0.0
2016/4/27,18.1,0.0,17.8,0.0,18.1,0.5
2016/4/28,14.4,22.0,14.4,16.0,14.3,21.0
2016/4/29,15.8,0.0,16.4,0.0,15.8,0.0
2016/4/30,16.0,0,16.3,0.0,16.0,0.0
2016/5/1,18.2,0,17.8,0.0,18.5,0.0
2016/5/2,17.4,0,17.1,0.0,17.8,0.0
2016/5/3,20.4,0,19.3,0.0,20.6,0.0
2016/5/4,22.1,13.5,20.6,8.5,23.1,10.0
2016/5/5,22.1,0,21.1,0.0,22.6,0.0
2016/5/6,18.1,2.5,18.7,3.0,18.2,1.0
2016/5/7,21.2,0.0,19.6,0.0,22.1,0.0
2016/5/8,21.3,0,20.8,0.0,21.1,0.0
2016/5/9,18.5,19.0,18.4,17.0,18.4,13.0
2016/5/10,18.4,6.0,18.5,8.5,18.7,4.0
2016/5/11,21.4,5.5,20.5,6.5,20.6,4.5
2016/5/12,21.7,0,21.4,0.0,21.9,0.0
2016/5/13,21.2,0,20.8,0.0,21.0,0.0
2016/5/14,19.8,0,19.4,0.0,19.9,0.0
2016/5/15,17.6,0,17.2,0.0,17.6,0.0
2016/5/16,19.0,0,18.9,0.0,19.3,0.0
2016/5/17,18.3,31.5,18.5,24.5,17.9,23.5
2016/5/18,20.0,0,19.7,0.0,19.6,0.0
2016/5/19,19.3,0,19.2,0.0,19.1,0.0
2016/5/20,17.2,0,16.8,0.0,17.1,0.0
2016/5/21,19.1,0.0,18.8,0.5,19.0,0.5
2016/5/22,22.4,0,22.2,0.0,22.2,0.0
2016/5/23,23.5,0,21.8,0.0,23.9,0.0
2016/5/24,23.4,0,22.0,0.0,24.1,0.0
2016/5/25,22.2,0.0,21.0,0.0,22.3,0.0
2016/5/26,23.0,0,21.9,0.0,23.4,0.0
2016/5/27,19.4,36.5,19.2,30.5,19.5,13.5
2016/5/28,19.3,0,19.4,0.0,19.4,0.0
2016/5/29,21.7,0.0,22.2,0.0,22.0,0.0
2016/5/30,17.4,23.0,17.6,39.5,17.0,14.5
2016/5/31,20.4,0,20.3,0.0,20.7,0.0
2016/6/1,21.5,0,21.7,0.0,21.4,0.0
2016/6/2,20.7,0,20.9,0.0,20.3,0.0
2016/6/3,19.4,0,19.5,0.0,19.6,0.0
2016/6/4,21.7,0.0,21.1,0.0,22.1,0.0
2016/6/5,19.3,3.0,19.2,3.0,20.1,3.0
2016/6/6,20.0,0,19.9,0.0,20.1,0.0
2016/6/7,19.6,0.5,19.8,0.0,19.4,1.0
2016/6/8,21.9,0.0,22.1,1.0,22.1,0.5
2016/6/9,21.2,6.5,21.6,29.5,21.2,6.5
2016/6/10,23.5,0,23.8,0.0,24.1,0.0
2016/6/11,23.5,0,23.1,0.0,24.0,0.0
2016/6/12,23.9,0.0,23.7,0.0,24.3,0.0
2016/6/13,19.8,98.5,20.4,92.5,19.8,77.5
2016/6/14,22.2,0,22.1,0.0,22.9,0.0
2016/6/15,20.8,0.0,21.1,0.0,20.8,0.0
2016/6/16,22.1,7.5,22.0,4.5,22.0,6.5
2016/6/17,24.2,2.5,23.3,1.5,25.4,1.0
2016/6/18,26.7,0,26.0,0.0,27.1,0.0
2016/6/19,24.3,5.0,23.7,2.5,24.5,1.5
2016/6/20,24.3,4.0,23.9,1.5,24.7,2.0
2016/6/21,22.7,10.0,23.4,6.0,23.0,6.5
2016/6/22,22.7,0.5,22.8,0.5,22.7,0.5
2016/6/23,23.0,9.5,23.3,11.5,23.4,6.0
2016/6/24,22.7,1.5,23.1,0.5,22.6,1.5
2016/6/25,25.4,1.0,24.7,2.5,24.5,0.5
2016/6/26,25.5,0,24.3,0.0,25.8,0.0
2016/6/27,24.4,0,24.2,0.0,24.7,0.0
2016/6/28,19.1,23.0,19.3,18.5,19.4,19.0
2016/6/29,21.5,0.5,21.9,0.0,21.6,0.0
2016/6/30,23.0,1.0,23.3,0.0,23.5,0.5
2016/7/1,25.6,0,25.8,0.0,25.8,0.0
2016/7/2,27.0,0.0,25.1,0.0,26.9,0.0
2016/7/3,29.2,0,26.1,0.0,30.2,0.0
2016/7/4,27.8,1.5,28.3,0.0,28.2,3.5
2016/7/5,21.7,0.0,21.9,0.0,21.6,0.0
2016/7/6,23.1,0,22.9,0.0,23.6,0.0
2016/7/7,27.4,0,26.4,0.0,27.7,0.0
2016/7/8,25.3,0.0,24.7,0.0,25.5,0.0
2016/7/9,22.4,12.5,22.9,11.0,22.5,9.5
2016/7/10,25.6,0,25.4,0.0,26.2,0.0
2016/7/11,28.0,0,26.9,0.0,28.1,0.0
2016/7/12,27.1,0,26.8,0.0,27.6,0.0
2016/7/13,25.1,2.0,25.7,0.5,25.5,2.0
2016/7/14,25.9,21.0,26.5,23.0,25.7,69.5
2016/7/15,22.2,5.5,22.6,20.5,22.4,1.5
2016/7/16,24.1,0,24.3,0.0,24.3,0.0
2016/7/17,25.9,0.0,25.4,0.0,26.5,0.0
2016/7/18,28.7,0.0,28.3,12.5,28.7,1.5
2016/7/19,27.3,5.0,28.0,0.0,28.0,0.0
2016/7/20,26.3,1.0,26.2,3.5,26.5,0.0
2016/7/21,21.8,28.5,22.1,12.5,21.8,39.5
2016/7/22,21.4,3.5,21.9,0.5,21.3,4.5
2016/7/23,22.4,0,22.4,0.0,22.3,0.0
2016/7/24,23.9,0,23.8,0.0,23.8,0.0
2016/7/25,24.7,0,24.8,0.0,25.0,0.0
2016/7/26,23.8,1.0,23.9,1.0,24.0,1.5
2016/7/27,24.5,0.0,24.2,0.0,24.2,0.0
2016/7/28,26.5,0,26.2,0.0,27.0,0.0
2016/7/29,27.2,0,26.9,0.0,27.6,0.0
2016/7/30,27.2,0,27.7,0.0,27.8,0.0
2016/7/31,27.5,0.0,27.3,2.5,27.5,2.5
